angle,v0,r,ymax,age,batchId,fitness,iteration,accepted,conv_objective,ConstraintEvaluation_impConstr1
25.753980675,141.787702726,1605.62240975,193.649455892,0.0,5.0,1605.62240975,4.0,accepted,0.0,56.3505441077
24.2638042428,136.728314815,1429.3284705,161.069954849,0.0,5.0,1429.3284705,4.0,accepted,0.0,88.930045151
25.753980675,141.787702726,1605.62240975,193.649455892,0.0,5.0,1605.62240975,4.0,accepted,0.0,56.3505441077
23.589403466,136.728314815,1399.19496186,152.746276756,0.0,5.0,1399.19496186,4.0,accepted,0.0,97.2537232441
25.753980675,121.393997902,1176.95732922,141.949405431,0.0,5.0,1176.95732922,4.0,accepted,0.0,108.050594569
27.1046257629,136.728314815,1547.37808643,197.997754899,0.0,5.0,1547.37808643,4.0,accepted,0.0,52.0022451013
74.1244744857,118.159733091,749.701079081,659.029835845,0.0,5.0,340.671243236,4.0,accepted,0.0,-409.029835845
25.753980675,136.728314815,1493.08045758,180.076097877,0.0,5.0,1493.08045758,4.0,accepted,0.0,69.9239021225
25.753980675,136.728314815,1493.08045758,180.076097877,0.0,5.0,1493.08045758,4.0,accepted,0.0,69.9239021225
24.2638042428,136.728314815,1429.3284705,161.069954849,0.0,5.0,1429.3284705,4.0,accepted,0.0,88.930045151
25.753980675,136.728314815,1493.08045758,180.076097877,0.0,5.0,1493.08045758,4.0,accepted,0.0,69.9239021225
31.7600738319,120.424475884,1324.55728505,204.995755011,0.0,5.0,1324.55728505,4.0,accepted,0.0,45.0042449887
25.753980675,130.962171746,1369.80272444,165.207928499,0.0,5.0,1369.80272444,4.0,accepted,0.0,84.792071501
46.9752169312,123.415064603,1550.51928578,415.321777209,0.0,5.0,584.379301872,4.0,accepted,0.0,-165.321777209
24.2638042428,141.787702726,1537.06507341,173.210711942,0.0,5.0,1537.06507341,4.0,accepted,0.0,76.789288058
23.589403466,141.787702726,1504.66023112,164.259630967,0.0,5.0,1504.66023112,4.0,accepted,0.0,85.740369033
24.2638042428,121.393997902,1126.70326015,126.967346545,0.0,5.0,1126.70326015,4.0,accepted,0.0,123.032653455
27.1046257629,141.787702726,1664.01275921,212.921969967,0.0,5.0,1664.01275921,4.0,accepted,0.0,37.0780300331
52.7573745436,116.855828712,1342.6233031,441.527754931,0.0,5.0,558.173324149,4.0,accepted,0.0,-191.527754931
52.7573745436,116.855828712,1342.6233031,441.527754931,0.0,5.0,558.173324149,4.0,accepted,0.0,-191.527754931
24.2638042428,136.728314815,1429.3284705,161.069954849,0.0,5.0,1429.3284705,4.0,accepted,0.0,88.930045151
24.2638042428,120.424475884,1108.77813178,124.947377254,0.0,5.0,1108.77813178,4.0,accepted,0.0,125.052622746
31.7600738319,141.787702726,1836.19308699,284.179319734,0.0,5.0,715.521759346,4.0,accepted,0.0,-34.1793197344
24.2638042428,130.962171746,1311.31448615,147.771047339,0.0,5.0,1311.31448615,4.0,accepted,0.0,102.228952661
31.7600738319,141.787702726,1836.19308699,284.179319734,0.0,5.0,715.521759346,4.0,accepted,0.0,-34.1793197344
23.589403466,121.393997902,1102.94978212,120.406002923,0.0,5.0,1102.94978212,4.0,accepted,0.0,129.593997077
27.1046257629,141.787702726,1664.01275921,212.921969967,0.0,5.0,1664.01275921,4.0,accepted,0.0,37.0780300331
23.589403466,160.483915175,1927.63290958,210.43439829,0.0,5.0,1927.63290958,4.0,accepted,0.0,39.5656017103
23.589403466,136.728314815,1399.19496186,152.746276756,0.0,5.0,1399.19496186,4.0,accepted,0.0,97.2537232441
52.7573745436,116.855828712,1342.6233031,441.527754931,0.0,5.0,558.173324149,4.0,accepted,0.0,-191.527754931
23.589403466,120.424475884,1085.4025564,118.490420413,0.0,5.0,1085.4025564,4.0,accepted,0.0,131.509579587
31.7600738319,141.787702726,1836.19308699,284.179319734,0.0,5.0,715.521759346,4.0,accepted,0.0,-34.1793197344
23.589403466,130.962171746,1283.66898184,140.134622341,0.0,5.0,1283.66898184,4.0,accepted,0.0,109.865377659
