0000582,0000583,0000597,0000596,0000200,0000579,0000578,0000575,20508701,20508801,failureTemp,0000588,timeof_692,timeof_578,timeof_591,time,timeof_672,cntrlvar_67,timeof_679
20726.1192277,9307.97756668,17606.8430517,3229.32221757,4899.41828345,9692.0680886,6146.16765902,14218.0633914,286.767986535,18250.9699668,2399.00302222,26346.1453316,-1.0,11046.0,-1.0,11045.6,11046.0,997.89,-1.0
2958.23425263,26286.1275269,13398.4493308,2265.04802237,8003.75262931,7919.8088243,13868.8271168,25821.0153556,287.064169085,16165.4512251,2358.20583971,4528.71847325,-1.0,21873.0,-1.0,21872.6,21873.0,1823.5,-1.0
23017.1457865,25693.5989459,27217.2392479,3517.0622427,3133.32640153,12431.5155763,13758.2585754,17478.8051902,159.872820845,17421.0839837,2424.07589308,7490.8049093,-1.0,16892.0,-1.0,16891.6,16892.0,1018.2,-1.0
7881.24991761,12003.6687503,20575.7218096,5630.48826526,7360.95520794,11686.3366454,26743.6619572,17283.258151,295.703281185,19670.6415416,2073.76671273,18852.8460339,-1.0,-1.0,-1.0,19047.4,19047.0,894.52,19047.0
7829.17118989,1756.97679054,21129.6609441,1543.59142695,17237.4433143,14539.0806348,1896.13043879,18032.0773166,326.317263507,15184.3820218,2296.80753335,5760.14593782,-1.0,19134.0,-1.0,19133.6,19134.0,1010.0,-1.0
13837.4820065,12733.4914604,20319.5351094,16794.6911739,26182.8548724,8386.56222274,2043.65479077,16652.9360808,77.816279889,20366.5330445,1980.17587944,4234.98332436,-1.0,28227.0,-1.0,28226.6,28227.0,1006.4,-1.0
15103.3874838,11453.2008889,473.838777523,27821.286249,24876.5942054,14997.2800462,8666.36686336,20.1975792208,78.5308274703,14952.9191712,1819.5483853,17441.7035424,30359.0,33543.0,-1.0,33543.0,33543.0,751.65,-1.0
312.493187982,11676.8121301,8503.40628227,2846.15496079,5063.01271559,8621.21017581,3879.43940202,8907.58262487,261.206453514,19809.5606218,2069.86158828,17056.1698741,-1.0,8942.5,-1.0,8942.49,8942.5,960.88,-1.0
6310.1266909,21605.7220811,16472.5496729,5040.12812616,24646.8641782,20500.2032367,448.943526347,14863.7355273,192.794385414,17194.5613035,2097.19050349,26430.9579107,-1.0,25096.0,-1.0,25095.9,25096.0,1011.6,-1.0
16031.440344,16070.5849976,16744.3964028,2121.78237031,24797.9830694,9531.50773999,24907.5940694,1404.83072317,214.780799857,20648.3805569,2263.52703902,9055.39528149,-1.0,-1.0,-1.0,35258.3,35258.0,1018.3,35258.0
21036.9079201,20927.6310601,28125.918088,13992.9406408,22172.8610264,26906.5566002,17106.4951756,27306.8785416,339.804526228,21513.9957981,1821.55142387,27395.8674482,-1.0,39279.0,-1.0,39279.4,39279.0,1007.4,-1.0
22257.097289,21715.2269892,6223.74167516,24634.7216263,20098.8856834,3887.22719498,16250.3600998,13987.4179701,331.829461743,16821.9313146,1871.1658923,28305.2559277,-1.0,-1.0,-1.0,23986.2,23986.0,1011.9,23986.0
24643.3672952,28205.9310722,69.1062247036,8439.91543125,26056.2114643,7862.3551476,1002.1370956,12584.4931227,132.049937805,15372.9264856,2090.88518885,24925.4981152,-1.0,27058.0,-1.0,27058.4,27058.0,876.55,-1.0
1318.01997963,19493.6920146,15329.4384873,22794.0598094,19840.0429582,10642.3160536,23762.0582867,4323.62178055,311.929942009,21322.8145013,2466.63873266,21741.8968445,-1.0,-1.0,-1.0,30482.4,30482.0,1001.3,30482.0
5294.19230725,10294.0461517,24731.4146618,5093.03122233,25418.659278,2343.7654438,17019.5795581,20200.098594,18.9256721194,17713.1480731,2127.80746114,22060.7604723,-1.0,-1.0,-1.0,27762.5,27762.0,1005.1,27762.0
22253.7467806,10350.3825693,16147.8184925,2990.05179877,6495.16257634,6052.67671902,3772.7806517,22579.3415019,85.5209237548,18643.0170297,2393.07753402,18127.2357317,-1.0,10268.0,-1.0,10268.0,10268.0,1004.7,-1.0
6433.02320089,10232.8700645,20353.3732543,4038.35709677,3292.33875665,28208.5444926,27625.2918595,21018.0825242,13.1909753712,17622.9371246,2352.03631935,2472.82389683,-1.0,-1.0,-1.0,19557.5,-1.0,2352.1,-1.0
16971.2228307,20714.6846805,25290.3489721,2531.74511551,26252.7249964,13.0964905167,14314.780517,7382.2155546,136.706067388,19183.3513172,2398.65812677,24111.3244249,-1.0,-1.0,-1.0,26265.9,26266.0,994.77,26266.0
23157.6372877,3839.39897382,17027.753439,22910.3821222,4304.19551953,5470.99319434,22722.1551247,5765.17728357,238.514382136,19247.8836458,2127.3938891,2076.83124611,-1.0,-1.0,-1.0,12146.3,12146.0,1018.6,12146.0
6928.96402715,9559.22147296,16915.6695057,4492.76019665,291.101840239,25726.0298787,21837.5919575,23940.8665761,190.488157842,16341.0972495,2146.88979017,9953.1358139,-1.0,-1.0,-1.0,20472.0,-1.0,879.33,-1.0
13729.33381,1611.21398202,12288.9865038,8049.21983724,23448.0353417,8368.86779616,1439.69583901,21348.0735702,281.734969316,16649.7627532,2506.10103382,2490.41135449,-1.0,24888.0,-1.0,24887.8,24888.0,1006.4,-1.0
16848.5096633,25275.3281155,16538.4753595,14358.6841773,22045.4237469,22152.2266188,19539.8990265,2691.96479998,236.964171467,19715.7370548,1994.18696496,7238.9455628,40083.0,-1.0,-1.0,40926.8,-1.0,1994.2,-1.0
10996.5714331,28537.4033778,15511.7143713,13498.1291141,11721.9792135,19627.1875056,2234.56843294,25217.642719,284.642282235,21326.1215214,2047.877146,25637.7179196,-1.0,13957.0,-1.0,13956.6,13957.0,1013.2,-1.0
12272.2358034,20902.5437852,11150.1806682,13204.0157778,26332.0038479,25380.0407757,12242.9512429,26745.4896689,26.7702435434,17443.9163389,1993.27085053,28086.114389,-1.0,38575.0,-1.0,38575.0,38575.0,903.88,-1.0
24284.4950342,1973.2432803,4314.37045711,25405.9367966,15182.1803302,18556.5230512,7771.24521436,4933.12390288,66.7501246579,14736.9195788,2448.1660062,7986.84374874,-1.0,22953.0,-1.0,22953.5,22953.0,824.21,-1.0
